fun_name,ea,size,has_input_masks,tri_slot_hits,polarity_pair,large_effects_call,score,candidate_type,source_file
FUN_000199e8,104936,160,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000199e8,104936,160,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019a88,105096,1060,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019a88,105096,1060,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00019a88,105096,1060,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019a88,105096,1060,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019c34,105524,12,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019c34,105524,12,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019c34,105524,12,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019c34,105524,12,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00019eac,106156,224,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019eac,106156,224,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00019eac,106156,224,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019eac,106156,224,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019ec0,106176,468,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
