fun_name,ea,size,shift_sites,unknown_pos_store_hits,small_neg_hits,velocity_adj_hits,heuristic_score,source_file,offsets_context_sample
FUN_00025c18,154648,624,1,1,0,0,2,exports\bundle_GAME.BIN.jsonl,0x1e;0x22
FUN_00025c18,154648,624,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x1e;0x22
FUN_00025c18,154648,624,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x1e;0x22
FUN_00033f50,212816,2744,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x164;0x30c
FUN_00033f50,212816,2744,1,1,0,0,2,exports\bundle_GAME.BIN.jsonl,0x164;0x30c
FUN_00033f50,212816,2744,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x164;0x30c
FUN_00033f50,212816,2744,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x164;0x30c
FUN_00034a08,215560,900,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x332
FUN_00034a08,215560,900,1,1,0,0,2,exports\bundle_GAME.BIN.jsonl,0x332
FUN_00034a08,215560,900,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x332
FUN_00034a08,215560,900,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x332
FUN_000443b8,279480,924,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x38;0x3c;0x3e;0x40;0xb8
FUN_000443b8,279480,924,1,1,0,0,2,exports\bundle_GAME.BIN.jsonl,0x38;0x3c;0x3e;0x40;0xb8
FUN_000443b8,279480,924,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x38;0x3c;0x3e;0x40;0xb8
FUN_000443b8,279480,924,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x38;0x3c;0x3e;0x40;0xb8
FUN_000464fc,287996,400,1,0,1,0,2,exports\bundle_all_plus_demo.jsonl,
FUN_000464fc,287996,400,1,0,1,0,2,exports\bundle_GAME.BIN.jsonl,
FUN_000464fc,287996,400,1,0,1,0,2,exports\bundle_ghidra.jsonl,
FUN_000464fc,287996,400,1,0,1,0,2,exports\bundle_ghidra.jsonl,
FUN_000468fc,289020,312,4,0,0,0,0,exports\bundle_all_plus_demo.jsonl,
FUN_000468fc,289020,312,4,0,0,0,0,exports\bundle_GAME.BIN.jsonl,
FUN_000468fc,289020,312,4,0,0,0,0,exports\bundle_ghidra.jsonl,
FUN_000468fc,289020,312,4,0,0,0,0,exports\bundle_ghidra.jsonl,
